Category,New_Category
LAWN_MOWER,Home and Kitchen
MEDICAL_COMPRESSION_GARMENT,Beauty and Personal Care
ROASTING_PAN,Home and Kitchen
PET_FEEDER,Pet Supplies
INTEGRATED_STEREO_SYSTEM,Electronics
SLIPPER,"Clothing, Shoes, and Jewelry"
JEWELRY_STORAGE,"Clothing, Shoes, and Jewelry"
ACCESSORY,"Clothing, Shoes, and Jewelry"
HARDWARE,Home and Kitchen
BABY_CARRIER,Home and Kitchen
HANDRAIL,Home and Kitchen
SPORT_EQUIPMENT_BAG_CASE,Sports and Outdoors
INFANT_TODDLER_CAR_SEAT,Home and Kitchen
TOOTHBRUSH_HEAD,Beauty and Personal Care
MULTITOOL,Home and Kitchen
ELECTRIC_SHAVER,Beauty and Personal Care
STATIONARY_BICYCLE,Sports and Outdoors
SERVEWARE,Home and Kitchen
INPUT_PEN,Electronics
MICROPHONE,Electronics
GARDEN_SHEAR_SCISSORS,Home and Kitchen
CONTACT_LENS_CLEANER,Beauty and Personal Care
VIDEO_DISC_PLAYER,Electronics
HOOK_LOOP_FASTENER,Home and Kitchen
BODY_STRAP,"Clothing, Shoes, and Jewelry"
VIDEO_GAME_ACCESSORIES,Electronics
DUVET_COVER,Home and Kitchen
TOOLS,Home and Kitchen
HEARING_AMPLIFIER,Beauty and Personal Care
TEAPOT,Home and Kitchen
EARMUFF,"Clothing, Shoes, and Jewelry"
COUNTERTOP_GRIDDLE_APPLIANCE,Home and Kitchen
BOOK_DOCUMENT_STAND,Home and Kitchen
BATHTUB_SHOWER_MAT,Home and Kitchen
TABLET_COMPUTER,Electronics
MOUSE_PAD,Electronics
VEHICLE_TIRE,Electronics
GUILD_HOME,Home and Kitchen
WATCH_BAND,"Clothing, Shoes, and Jewelry"
THERMOS,Home and Kitchen
LAB_SUPPLY,Home and Kitchen
CLIPBOARD,Office Product
SPEAKERS,Electronics
FURNITURE_FLOOR_PROTECTOR,Home and Kitchen
SYRINGE,Beauty and Personal Care
WRITING_BOARD,Office Product
GLUCOSE_METER,Beauty and Personal Care
ERASER,Office Product
DIGITAL_PICTURE_FRAME,Electronics
HAND_STRENGTHENER,Sports and Outdoors
COOKTOP,Home and Kitchen
SPOON,Home and Kitchen
PERSONAL_CARE_APPLIANCE,Beauty and Personal Care
PHONE_ACCESSORY,Electronics
NETWORK_INTERFACE_CONTROLLER_ADAPTER,Electronics
RUBBER_STAMP,Office Product
FOOD_PROCESSOR,Home and Kitchen
RESPIRATOR,Beauty and Personal Care
FASTENER_DRIVE_BIT,Home and Kitchen
COMPUTER_COMPONENT,Electronics
BOTTLE,Home and Kitchen
TWEEZER,Beauty and Personal Care
SAFETY_MASK_STRAP_EXTENDER,Beauty and Personal Care
KEYCHAIN,"Clothing, Shoes, and Jewelry"
HAIR_EXTENSION,Beauty and Personal Care
CIRCUIT_BREAKER,Electronics
VDO_DEVICES,Electronics
KEYBOARDS,Electronics
NON_DAIRY_CREAM,Food
DOWNLOADABLE_VIDEO_GAME,Electronics
CONSOLE_VIDEO_GAMES,Electronics
INTERNAL_MEMORY,Electronics
COMPUTER_CHASSIS,Electronics
AMAZON_BOOK_READER,Electronics
VIDEO_CARD,Electronics
ELECTRONIC_COMPONENT_FAN,Electronics
AMAZON_BOOK_READER_ACCESSORY,Electronics
AIR_CONDITIONER,Home and Kitchen
MONITOR,Electronics
SHELF,Home and Kitchen
PENCIL_SHARPENER,Office Product
CAMCORDER,Electronics
HAIR_TRIMMER,Beauty and Personal Care
CABLE_TIE,Home and Kitchen
KEYBOARD_MOUSE_SET,Electronics
UTILITY_MAGNET,Home and Kitchen
ICE_CREAM_MAKER,Home and Kitchen
SYSTEM_POWER_DEVICE,Electronics
SINK,Home and Kitchen
SANDAL,"Clothing, Shoes, and Jewelry"
SKIN_CLEANING_BRUSH,Beauty and Personal Care
SWIMWEAR,"Clothing, Shoes, and Jewelry"
SUNSCREEN,Beauty and Personal Care
SOUND_CARD,Electronics
CANNED_AIR,Home and Kitchen
FOOD_OR_BEVERAGE_WARMER,Home and Kitchen
TEMPORARY_HANGER_HOOK,Home and Kitchen
FOOTREST,Home and Kitchen
ALCOHOLIC_BEVERAGE,Food
BACKDROP,Home and Kitchen
DIGITAL_DEVICE_3_ACCESSORY,Electronics
CARGO_STRAP,Home and Kitchen
PHYSICAL_SOFTWARE,Electronics
OPTICAL_DISC_DRIVE,Electronics
BUNGEE_CORD,Home and Kitchen
HANGING_ORNAMENT,Home and Kitchen
PET_PLAYPEN,Pet Supplies
NOISE_MACHINE,Home and Kitchen
LABEL,Office Product
COOKIE_CUTTER,Home and Kitchen
COOKING_CONTAINER,Home and Kitchen
ANIMAL_INCONTINENCE_PROTECTOR,Pet Supplies
SANDBOX,Home and Kitchen
INCONTINENCE_PROTECTOR,Beauty and Personal Care
COSTUME_OUTFIT,"Clothing, Shoes, and Jewelry"
KITCHEN_KNIFE,Home and Kitchen
WEIGH_SCALE,Home and Kitchen
MATTRESS_COVER,Home and Kitchen
EYEGLASS_CASE,"Clothing, Shoes, and Jewelry"
LASER_PRINTER_TONER,Office Product
LITTER_BOX,Pet Supplies
PRETEND_PLAY_TOY,Toys and Games
SWING,Home and Kitchen
SEWING_MACHINE_NEEDLE,Home and Kitchen
REMOTE_CONTROL,Electronics
DOORSTOP,Home and Kitchen
PAPER_PRODUCT,Office Product
ELECTRIC_LIGHT,Home and Kitchen
MATTRESS,Home and Kitchen
SEALANT,Home and Kitchen
ZIPPER_FASTENER,Home and Kitchen
MENSTRUAL_CUP,Beauty and Personal Care
MAJOR_HOME_APPLIANCES,Home and Kitchen
STORAGE_DRAWER,Home and Kitchen
PLAYHOUSE,Home and Kitchen
CABLE_OR_ADAPTER,Electronics
VEHICLE_LIGHT_ASSEMBLY,Electronics
ANTENNA,Electronics
MECHANICAL_BELT,Home and Kitchen
ANIMAL_NUTRITIONAL_SUPPLEMENT,Pet Supplies
MUSCLE_ROLLER,Sports and Outdoors
SNACK_FOOD_BAR,Food
ROBOTIC_VACUUM_CLEANER,Home and Kitchen
LEASH,Pet Supplies
BOTTLE_RACK,Home and Kitchen
STANDALONE_STREAMING_MEDIA_PLAYER,Electronics
MEDICAL_TEST_STRIP,Beauty and Personal Care
EXERCISE_MAT,Sports and Outdoors
ANIMAL_FUR_CLEANER_CONDITIONER,Pet Supplies
SLOW_COOKER,Home and Kitchen
UTILITY_CART_WAGON,Home and Kitchen
EARRING,"Clothing, Shoes, and Jewelry"
LIGHT_FIXTURE,Home and Kitchen
SHEET_PAN,Home and Kitchen
ELECTRONIC_SWITCH,Electronics
TOASTER,Home and Kitchen
HOSE_PIPE_FITTING,Home and Kitchen
BASKET,Home and Kitchen
HARDWARE_STAPLE,Home and Kitchen
PICTURE_HANGER,Home and Kitchen
FABRIC,Home and Kitchen
SLED,Home and Kitchen
DISHWASHER_DETERGENT,Home and Kitchen
MASCARA,Beauty and Personal Care
DRAIN_OPENER_SUBSTANCE,Home and Kitchen
